price,property_type,bedrooms,bathrooms,total_rooms,living_area,land_area,has_climatisation,has_parabole_tv,has_pool,has_handicapped_access,has_parking,has_garage,has_garden,has_fireplace,has_interphone,has_terrace,has_electric_heating,has_elevator,has_alarm_system,has_internet_access,has_sea_view,has_furnished,has_central_heating,has_kitchen_equipped,is_house,has_many_bedrooms,many_bathrooms,many_total_rooms,area_ratio,neighborhood_encoded,city_encoded,amenity_count,top_amenities_score
360000.0,Appartement,3,1,4.0,110.0,110.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,609676.6497134108,421223.1284046693,0,0
320000.0,Appartement,1,1,4.0,53.0,53.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,609676.6497134108,421223.1284046693,0,0
422000.0,Appartement,2,2,3.0,125.0,125.0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0.0,0,0,0,1.0,479613.30097085395,427863.83694779116,11,0
245000.0,Appartement,1,1,2.0,74.0,74.0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0.0,0,0,0,1.0,368515.75381549913,458256.9600923483,11,1
520000.0,Appartement,3,2,4.0,152.0,152.0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0.0,0,0,0,1.0,449284.3643460328,421223.1284046693,12,0
230000.0,Appartement,2,1,3.0,110.0,110.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,702600.6298076923,458256.9600923483,0,0
270000.0,Appartement,2,1,3.0,102.0,102.0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0.0,0,0,0,1.0,368515.75381549913,458256.9600923483,7,0
220000.0,Appartement,2,1,3.0,121.0,121.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,298723.7381799507,337796.95220125787,1,0
259000.0,Appartement,2,1,5.0,76.0,76.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,302228.1562310006,307718.75013972755,1,0
310000.0,Appartement,2,1,3.0,91.0,91.0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0.0,0,0,0,1.0,371304.350658398,427863.83694779116,7,1
140000.0,Appartement,1,1,2.0,55.0,55.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,505607.02213279676,458256.9600923483,0,0
369000.0,Appartement,2,2,3.0,123.0,123.0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0.0,0,0,0,1.0,383538.6938933855,363369.6864175023,5,0
255000.0,Appartement,3,2,4.0,120.0,120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0,0,0,1.0,383538.6938933855,363369.6864175023,2,0
230000.0,Appartement,1,1,2.0,80.0,80.0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0.0,0,0,0,1.0,383538.6938933855,363369.6864175023,7,0
330000.0,Appartement,1,1,2.0,63.0,63.0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0.0,0,0,0,1.0,609676.6497134108,421223.1284046693,8,0
560000.0,Appartement,3,1,4.0,180.0,180.0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0.0,0,0,0,1.0,702600.6298076923,458256.9600923483,12,2
230000.0,Appartement,3,2,4.0,59.0,280.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.21071428571428572,424414.6453058023,427863.83694779116,0,0
230000.0,Appartement,3,2,5.0,81.0,176.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.4602272727272727,424414.6453058023,427863.83694779116,0,0
480000.0,Appartement,3,1,4.0,151.0,151.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,1.0,369705.23749562266,363369.6864175023,2,0
560000.0,Appartement,2,3,4.0,126.0,126.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,377309.35526500206,343962.42958593956,0,0
250000.0,Appartement,1,1,2.0,66.0,66.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,383538.6938933855,363369.6864175023,0,0
502951.0,Appartement,2,1,3.0,115.0,115.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,1.0,333530.9611181017,363369.6864175023,2,0
420000.0,Appartement,2,1,3.0,128.0,128.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,1.0,333530.9611181017,363369.6864175023,3,0
470000.0,Appartement,2,1,3.0,170.0,170.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0,0,0,0,1.0,369705.23749562266,363369.6864175023,3,0
250000.0,Appartement,3,1,4.0,130.0,130.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,1.0,219007.6610817952,421223.1284046693,3,1
220000.0,Appartement,2,1,3.0,90.0,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,562398.5204350646,458256.9600923483,0,0
170000.0,Appartement,1,1,4.0,60.0,60.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,1.0,285198.43551554164,363369.6864175023,2,0
125000.0,Appartement,2,1,4.0,83.0,83.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,337769.23879793036,421223.1284046693,0,0
595000.0,Appartement,3,2,4.0,140.0,140.0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0.0,0,0,0,1.0,368515.75381549913,458256.9600923483,15,2
185000.0,Appartement,3,2,5.0,172.0,172.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,453980.20527054707,458256.9600923483,0,0
385000.0,Appartement,2,1,3.0,109.0,109.0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0.0,0,0,0,1.0,505607.02213279676,458256.9600923483,11,1
450000.0,Appartement,3,2,4.0,125.0,125.0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0.0,0,0,0,1.0,453980.20527054707,458256.9600923483,11,1
230000.0,Appartement,1,1,1.0,46.0,46.0,1,1,0,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0.0,0,0,0,1.0,497765.2185555899,421223.1284046693,11,1
185000.0,Appartement,2,1,3.0,96.0,96.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,1.0,219007.6610817952,421223.1284046693,2,0
288000.0,Appartement,2,2,2.0,96.0,96.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,333530.9611181017,363369.6864175023,0,0
235000.0,Appartement,1,1,1.0,42.0,42.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,333530.9611181017,363369.6864175023,0,0
380000.0,Appartement,1,1,2.0,85.0,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,1.0,377309.35526500206,343962.42958593956,1,0
250000.0,Appartement,2,1,3.0,115.0,115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,505607.02213279676,458256.9600923483,0,0
320000.0,Appartement,3,1,6.0,120.0,120.0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0.0,0,0,0,1.0,383538.6938933855,363369.6864175023,6,0
240000.0,Appartement,3,1,4.0,125.0,125.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,1.0,479613.30097085395,427863.83694779116,2,1
337000.0,Appartement,2,1,5.0,116.0,116.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,383538.6938933855,363369.6864175023,0,0
85000.0,Appartement,1,1,4.0,90.0,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,465826.5395270159,363369.6864175023,0,0
